             w0  7.49160e+03  7.56517e+03
          Mnuw0  3.07472e+03  3.10242e+03
          Omkw0  3.98442e+03  4.02764e+03
           w0wa  1.68734e+03  1.70314e+03
          w0Gam  3.09954e+03  3.13303e+03
       MnuOmkw0  1.95284e+03  1.97246e+03
        Mnuw0wa  9.15113e+02  9.23139e+02
       Mnuw0Gam  1.58770e+03  1.60354e+03
        Omkw0wa  1.17000e+03  1.18208e+03
       Omkw0Gam  1.99078e+03  2.01416e+03
        w0waGam  9.39170e+02  9.48846e+02
     MnuOmkw0wa  6.97775e+02  7.04662e+02
    MnuOmkw0Gam  1.14082e+03  1.15330e+03
     Mnuw0waGam  5.81846e+02  5.87467e+02
     Omkw0waGam  7.23510e+02  7.31617e+02
  MnuOmkw0waGam  4.76748e+02  4.81857e+02
