             w0  5.46371e+04  6.47654e+04
          Mnuw0  2.75384e+04  3.27873e+04
          w0Gam  2.73472e+04  3.47863e+04
       Mnuw0Gam  1.67617e+04  2.13552e+04
          Omkw0  1.86035e+04  2.26031e+04
       MnuOmkw0  1.14516e+04  1.38314e+04
       Omkw0Gam  1.29173e+04  1.63398e+04
    MnuOmkw0Gam  7.99814e+03  1.01168e+04
           w0wa  1.72762e+04  2.04908e+04
        Mnuw0wa  9.86651e+03  1.15629e+04
        w0waGam  1.10841e+04  1.33880e+04
     Mnuw0waGam  6.34669e+03  7.63256e+03
        Omkw0wa  1.30881e+04  1.49512e+04
     MnuOmkw0wa  7.45821e+03  8.63394e+03
     Omkw0waGam  9.80505e+03  1.18011e+04
  MnuOmkw0waGam  5.54025e+03  6.67949e+03
