             w0  3.37529e+05  3.38133e+05
          Mnuw0  2.06861e+05  2.07449e+05
          w0Gam  2.42814e+05  2.43252e+05
       Mnuw0Gam  1.76604e+05  1.77127e+05
          Omkw0  1.70333e+05  1.71076e+05
       MnuOmkw0  1.10802e+05  1.11411e+05
       Omkw0Gam  1.08781e+05  1.09639e+05
    MnuOmkw0Gam  7.87565e+04  7.94420e+04
           w0wa  2.10928e+05  2.13115e+05
        Mnuw0wa  1.58045e+05  1.59457e+05
        w0waGam  2.00053e+05  2.01562e+05
     Mnuw0waGam  1.47538e+05  1.48599e+05
        Omkw0wa  1.10532e+05  1.11771e+05
     MnuOmkw0wa  8.34740e+04  8.42805e+04
     Omkw0waGam  8.51587e+04  8.59983e+04
  MnuOmkw0waGam  6.32946e+04  6.39226e+04
