             w0  2.07291e+02  2.67555e+02
          Mnuw0  6.41331e+01  8.12396e+01
          Omkw0  1.24112e+02  1.64700e+02
           w0wa  4.90412e+01  6.44865e+01
          w0Gam  1.01612e+02  1.37942e+02
       MnuOmkw0  4.44081e+01  5.88262e+01
        Mnuw0wa  2.10379e+01  2.71483e+01
       Mnuw0Gam  3.94459e+01  5.26494e+01
        Omkw0wa  3.74834e+01  5.02072e+01
       Omkw0Gam  7.09137e+01  9.67244e+01
        w0waGam  3.12314e+01  4.19553e+01
     MnuOmkw0wa  1.71727e+01  2.29232e+01
    MnuOmkw0Gam  2.98547e+01  4.01966e+01
     Mnuw0waGam  1.53478e+01  2.03171e+01
     Omkw0waGam  2.58587e+01  3.49255e+01
  MnuOmkw0waGam  1.31135e+01  1.75238e+01
