             w0  1.00821e+05  1.01763e+05
          Mnuw0  3.92291e+04  3.98424e+04
          Omkw0  7.91424e+04  8.11263e+04
           w0wa  2.27831e+04  2.52025e+04
          w0Gam  3.44438e+04  3.47360e+04
       MnuOmkw0  3.51699e+04  3.61118e+04
        Mnuw0wa  1.19458e+04  1.30703e+04
       Mnuw0Gam  1.69946e+04  1.72491e+04
        Omkw0wa  2.21716e+04  2.43867e+04
       Omkw0Gam  2.99284e+04  3.09395e+04
        w0waGam  1.06936e+04  1.16980e+04
     MnuOmkw0wa  1.23701e+04  1.35053e+04
    MnuOmkw0Gam  1.47963e+04  1.55502e+04
     Mnuw0waGam  6.47695e+03  7.02870e+03
     Omkw0waGam  1.06727e+04  1.16759e+04
  MnuOmkw0waGam  6.27633e+03  6.92877e+03
