             w0  3.07953e+05  3.12583e+05
          Mnuw0  1.94081e+05  1.98795e+05
          w0Gam  2.21362e+05  2.24723e+05
       Mnuw0Gam  1.65492e+05  1.69622e+05
          Omkw0  1.54061e+05  1.59749e+05
       MnuOmkw0  1.03357e+05  1.08067e+05
       Omkw0Gam  9.89434e+04  1.05193e+05
    MnuOmkw0Gam  7.38052e+04  7.90109e+04
           w0wa  1.94691e+05  2.10720e+05
        Mnuw0wa  1.48237e+05  1.58597e+05
        w0waGam  1.83796e+05  1.94053e+05
     Mnuw0waGam  1.38547e+05  1.46046e+05
        Omkw0wa  1.00484e+05  1.09365e+05
     MnuOmkw0wa  7.80491e+04  8.38930e+04
     Omkw0waGam  7.84967e+04  8.43631e+04
  MnuOmkw0waGam  5.98906e+04  6.44580e+04
