             w0  1.02698e+05  1.02910e+05
          Mnuw0  3.71256e+04  3.72313e+04
          Omkw0  8.58107e+04  8.60418e+04
           w0wa  2.35245e+04  2.37559e+04
          w0Gam  3.75029e+04  3.75719e+04
       MnuOmkw0  3.59201e+04  3.60409e+04
        Mnuw0wa  1.14368e+04  1.15408e+04
       Mnuw0Gam  1.68633e+04  1.69112e+04
        Omkw0wa  2.41475e+04  2.43809e+04
       Omkw0Gam  3.23679e+04  3.24816e+04
        w0waGam  1.16610e+04  1.17656e+04
     MnuOmkw0wa  1.26568e+04  1.27700e+04
    MnuOmkw0Gam  1.58233e+04  1.58969e+04
     Mnuw0waGam  6.46302e+03  6.51759e+03
     Omkw0waGam  1.16347e+04  1.17439e+04
  MnuOmkw0waGam  6.71718e+03  6.78135e+03
