             w0  1.30861e+02  1.55782e+02
          Mnuw0  4.25189e+01  4.96101e+01
          Omkw0  7.38099e+01  8.96357e+01
           w0wa  2.90961e+01  3.59683e+01
          w0Gam  6.47647e+01  8.08011e+01
       MnuOmkw0  2.91306e+01  3.48438e+01
        Mnuw0wa  1.30960e+01  1.58415e+01
       Mnuw0Gam  2.63796e+01  3.21894e+01
        Omkw0wa  2.12720e+01  2.63539e+01
       Omkw0Gam  4.28421e+01  5.33874e+01
        w0waGam  1.58580e+01  1.95780e+01
     MnuOmkw0wa  1.06647e+01  1.30339e+01
    MnuOmkw0Gam  1.98597e+01  2.42878e+01
     Mnuw0waGam  8.02360e+00  9.77533e+00
     Omkw0waGam  1.28416e+01  1.58559e+01
  MnuOmkw0waGam  6.95386e+00  8.50191e+00
