             w0  2.68191e+03  3.10648e+03
          Mnuw0  8.23371e+02  9.39111e+02
          Omkw0  1.26845e+03  1.48785e+03
           w0wa  4.98217e+02  5.92959e+02
          w0Gam  1.03462e+03  1.25862e+03
       MnuOmkw0  4.81342e+02  5.59081e+02
        Mnuw0wa  2.14698e+02  2.52274e+02
       Mnuw0Gam  4.14235e+02  4.94511e+02
        Omkw0wa  3.17485e+02  3.75964e+02
       Omkw0Gam  6.04876e+02  7.30709e+02
        w0waGam  2.54311e+02  3.04918e+02
     MnuOmkw0wa  1.54641e+02  1.82572e+02
    MnuOmkw0Gam  2.76881e+02  3.29594e+02
     Mnuw0waGam  1.27079e+02  1.50310e+02
     Omkw0waGam  1.83523e+02  2.18822e+02
  MnuOmkw0waGam  9.95019e+01  1.17523e+02
