             w0  1.23874e+05  1.41931e+05
          Mnuw0  8.25240e+04  1.00685e+05
          w0Gam  9.84431e+04  1.12877e+05
       Mnuw0Gam  7.55137e+04  9.26124e+04
          Omkw0  7.65189e+04  9.04657e+04
       MnuOmkw0  5.40902e+04  6.67782e+04
       Omkw0Gam  5.15339e+04  6.53613e+04
    MnuOmkw0Gam  4.00713e+04  5.44330e+04
           w0wa  8.05199e+04  1.16225e+05
        Mnuw0wa  6.75172e+04  9.02652e+04
        w0waGam  7.84447e+04  1.03171e+05
     Mnuw0waGam  6.42188e+04  8.30284e+04
        Omkw0wa  5.19229e+04  7.44436e+04
     MnuOmkw0wa  4.42437e+04  5.85389e+04
     Omkw0waGam  4.20684e+04  5.84353e+04
  MnuOmkw0waGam  3.41444e+04  4.81015e+04
