             w0  1.07377e+05  1.11295e+05
          Mnuw0  7.37436e+04  7.78800e+04
          w0Gam  8.54568e+04  8.85874e+04
       Mnuw0Gam  6.80448e+04  7.19482e+04
          Omkw0  6.61393e+04  6.91306e+04
       MnuOmkw0  4.89753e+04  5.17883e+04
       Omkw0Gam  4.50324e+04  4.81208e+04
    MnuOmkw0Gam  3.73069e+04  4.06976e+04
           w0wa  7.09463e+04  8.19701e+04
        Mnuw0wa  6.03996e+04  6.78611e+04
        w0waGam  6.90028e+04  7.71015e+04
     Mnuw0waGam  5.79616e+04  6.42816e+04
        Omkw0wa  4.52693e+04  5.23561e+04
     MnuOmkw0wa  4.02056e+04  4.52431e+04
     Omkw0waGam  3.70709e+04  4.20687e+04
  MnuOmkw0waGam  3.17524e+04  3.63556e+04
