             w0  1.02698e+05  1.04204e+05
          Mnuw0  3.71256e+04  3.78748e+04
          Omkw0  8.58107e+04  8.74514e+04
           w0wa  2.35245e+04  2.50388e+04
          w0Gam  3.75029e+04  3.79967e+04
       MnuOmkw0  3.59201e+04  3.67771e+04
        Mnuw0wa  1.14368e+04  1.21191e+04
       Mnuw0Gam  1.68633e+04  1.72052e+04
        Omkw0wa  2.41475e+04  2.56696e+04
       Omkw0Gam  3.23679e+04  3.31732e+04
        w0waGam  1.16610e+04  1.23420e+04
     MnuOmkw0wa  1.26568e+04  1.33962e+04
    MnuOmkw0Gam  1.58233e+04  1.63439e+04
     Mnuw0waGam  6.46302e+03  6.82016e+03
     Omkw0waGam  1.16347e+04  1.23544e+04
  MnuOmkw0waGam  6.71718e+03  7.14224e+03
