             w0  5.14755e+03  5.44034e+03
          Mnuw0  1.66688e+03  1.75076e+03
          Omkw0  2.27467e+03  2.41827e+03
           w0wa  9.26205e+02  9.87692e+02
          w0Gam  1.92259e+03  2.07296e+03
       MnuOmkw0  9.28506e+02  9.81761e+02
        Mnuw0wa  4.24309e+02  4.49801e+02
       Mnuw0Gam  8.10405e+02  8.66993e+02
        Omkw0wa  5.55892e+02  5.92090e+02
       Omkw0Gam  1.05775e+03  1.13634e+03
        w0waGam  4.66278e+02  4.99752e+02
     MnuOmkw0wa  2.91986e+02  3.09727e+02
    MnuOmkw0Gam  5.18362e+02  5.53268e+02
     Mnuw0waGam  2.49959e+02  2.66245e+02
     Omkw0waGam  3.19385e+02  3.41267e+02
  MnuOmkw0waGam  1.87833e+02  1.99685e+02
