             w0  1.53845e+04  1.77901e+04
          Mnuw0  6.26719e+03  7.26200e+03
          w0Gam  7.52378e+03  9.39191e+03
       Mnuw0Gam  3.56410e+03  4.44849e+03
          Omkw0  4.88257e+03  5.80916e+03
       MnuOmkw0  2.22746e+03  2.65405e+03
       Omkw0Gam  3.33617e+03  4.11013e+03
    MnuOmkw0Gam  1.54128e+03  1.90474e+03
           w0wa  4.30941e+03  5.10421e+03
        Mnuw0wa  1.88538e+03  2.23748e+03
        w0waGam  2.61103e+03  3.11802e+03
     Mnuw0waGam  1.13981e+03  1.36499e+03
        Omkw0wa  3.05130e+03  3.44679e+03
     MnuOmkw0wa  1.32315e+03  1.53239e+03
     Omkw0waGam  2.22465e+03  2.58920e+03
  MnuOmkw0waGam  9.44078e+02  1.10888e+03
