             w0  3.37529e+05  3.39483e+05
          Mnuw0  2.06861e+05  2.08762e+05
          w0Gam  2.42814e+05  2.44231e+05
       Mnuw0Gam  1.76604e+05  1.78294e+05
          Omkw0  1.70333e+05  1.72723e+05
       MnuOmkw0  1.10802e+05  1.12756e+05
       Omkw0Gam  1.08781e+05  1.11504e+05
    MnuOmkw0Gam  7.87565e+04  8.09375e+04
           w0wa  2.10928e+05  2.17759e+05
        Mnuw0wa  1.58045e+05  1.62423e+05
        w0waGam  2.00053e+05  2.04692e+05
     Mnuw0waGam  1.47538e+05  1.50802e+05
        Omkw0wa  1.10532e+05  1.14389e+05
     MnuOmkw0wa  8.34740e+04  8.59659e+04
     Omkw0waGam  8.51587e+04  8.77623e+04
  MnuOmkw0waGam  6.32946e+04  6.52411e+04
