             w0  5.46371e+04  5.69855e+04
          Mnuw0  2.75384e+04  2.87510e+04
          w0Gam  2.73472e+04  2.90218e+04
       Mnuw0Gam  1.67617e+04  1.77957e+04
          Omkw0  1.86035e+04  1.95174e+04
       MnuOmkw0  1.14516e+04  1.20001e+04
       Omkw0Gam  1.29173e+04  1.37198e+04
    MnuOmkw0Gam  7.99814e+03  8.49633e+03
           w0wa  1.72762e+04  1.80222e+04
        Mnuw0wa  9.86651e+03  1.02656e+04
        w0waGam  1.10841e+04  1.16267e+04
     Mnuw0waGam  6.34669e+03  6.64963e+03
        Omkw0wa  1.30881e+04  1.35279e+04
     MnuOmkw0wa  7.45821e+03  7.73378e+03
     Omkw0waGam  9.80505e+03  1.02897e+04
  MnuOmkw0waGam  5.54025e+03  5.81698e+03
