             w0  3.37529e+05  3.42862e+05
          Mnuw0  2.06861e+05  2.12040e+05
          w0Gam  2.42814e+05  2.46685e+05
       Mnuw0Gam  1.76604e+05  1.81202e+05
          Omkw0  1.70333e+05  1.76731e+05
       MnuOmkw0  1.10802e+05  1.16006e+05
       Omkw0Gam  1.08781e+05  1.15856e+05
    MnuOmkw0Gam  7.87565e+04  8.44782e+04
           w0wa  2.10928e+05  2.28072e+05
        Mnuw0wa  1.58045e+05  1.68876e+05
        w0waGam  2.00053e+05  2.11332e+05
     Mnuw0waGam  1.47538e+05  1.55490e+05
        Omkw0wa  1.10532e+05  1.20161e+05
     MnuOmkw0wa  8.34740e+04  8.96010e+04
     Omkw0waGam  8.51587e+04  9.16582e+04
  MnuOmkw0waGam  6.32946e+04  6.81580e+04
