             w0  7.49160e+03  9.11871e+03
          Mnuw0  3.07472e+03  3.68990e+03
          Omkw0  3.98442e+03  4.95994e+03
           w0wa  1.68734e+03  2.03765e+03
          w0Gam  3.09954e+03  3.85719e+03
       MnuOmkw0  1.95284e+03  2.39655e+03
        Mnuw0wa  9.15113e+02  1.09343e+03
       Mnuw0Gam  1.58770e+03  1.94614e+03
        Omkw0wa  1.17000e+03  1.44171e+03
       Omkw0Gam  1.99078e+03  2.51470e+03
        w0waGam  9.39170e+02  1.15611e+03
     MnuOmkw0wa  6.97775e+02  8.52571e+02
    MnuOmkw0Gam  1.14082e+03  1.42026e+03
     Mnuw0waGam  5.81846e+02  7.07893e+02
     Omkw0waGam  7.23510e+02  9.03416e+02
  MnuOmkw0waGam  4.76748e+02  5.89566e+02
