             w0  5.46371e+04  6.70226e+04
          Mnuw0  2.75384e+04  3.39637e+04
          w0Gam  2.73472e+04  3.65113e+04
       Mnuw0Gam  1.67617e+04  2.24202e+04
          Omkw0  1.86035e+04  2.35121e+04
       MnuOmkw0  1.14516e+04  1.43647e+04
       Omkw0Gam  1.29173e+04  1.70847e+04
    MnuOmkw0Gam  7.99814e+03  1.05763e+04
           w0wa  1.72762e+04  2.12054e+04
        Mnuw0wa  9.86651e+03  1.19331e+04
        w0waGam  1.10841e+04  1.38891e+04
     Mnuw0waGam  6.34669e+03  7.91258e+03
        Omkw0wa  1.30881e+04  1.53596e+04
     MnuOmkw0wa  7.45821e+03  8.89312e+03
     Omkw0waGam  9.80505e+03  1.22144e+04
  MnuOmkw0waGam  5.54025e+03  6.91553e+03
