             w0  9.16486e+04  9.18947e+04
          Mnuw0  3.50021e+04  3.51648e+04
          Omkw0  7.13108e+04  7.18389e+04
           w0wa  2.02172e+04  2.10469e+04
          w0Gam  3.07027e+04  3.07780e+04
       MnuOmkw0  3.09682e+04  3.12169e+04
        Mnuw0wa  1.04735e+04  1.08542e+04
       Mnuw0Gam  1.49598e+04  1.50261e+04
        Omkw0wa  1.95898e+04  2.03430e+04
       Omkw0Gam  2.68057e+04  2.70671e+04
        w0waGam  9.35914e+03  9.69966e+03
     MnuOmkw0wa  1.07409e+04  1.11206e+04
    MnuOmkw0Gam  1.29332e+04  1.31451e+04
     Mnuw0waGam  5.62174e+03  5.80685e+03
     Omkw0waGam  9.42207e+03  9.75668e+03
  MnuOmkw0waGam  5.42850e+03  5.63989e+03
